#z-coord	CCo.1	CCo.2	CCo.3	CCo_average	Cco_std	SEM
10	1.2769	1.21557106	1.055502965	1.18265800833333	0.114309288792326	0.065996498655124
10.1	0.9561	0.89611706	0.756310965	0.869509341666667	0.102517767400277	0.059188660605269
10.2	0.7272	0.68232806	0.546362965	0.651963675	0.094164776929694	0.05436605930854
10.3	0.5642	0.53526206	0.406395965	0.501952675	0.08400990841787	0.048503143239653
10.4	0.4619	0.43934306	0.310271965	0.403838341666667	0.081812004115761	0.047234182599178
10.5	0.406	0.38514406	0.267185965	0.352776675	0.074853655802833	0.043216778327593
10.6	0.403	0.38269606	0.272012965	0.352569675	0.070498937150846	0.040702580341624
10.7	0.4528	0.42564506	0.327231965	0.401892341666667	0.06606796935435	0.038144359891546
10.8	0.5404	0.50795706	0.419454965	0.489270675	0.062600408234004	0.036142362545283
10.9	0.6528	0.61644806	0.523445965	0.597564675	0.066712467084414	0.03851646082949
11	0.7651	0.73240506	0.631966965	0.709824008333333	0.069379601994083	0.040056331887553
11.1	0.8721	0.83328306	0.725536965	0.810306675	0.075934949185826	0.043841063353337
11.2	0.9436	0.90258406	0.795537965	0.880574008333333	0.076445557966845	0.044135863470509
11.3	0.9887	0.93767106	0.833170965	0.919847341666667	0.079281674322805	0.045773296012076
11.4	0.9989	0.93920406	0.837248965	0.925117675	0.081740956447298	0.047193163208665
11.5	0.9786	0.90878306	0.811214965	0.899532675	0.084075053984366	0.048540755050006
11.6	0.9227	0.85382806	0.750006965	0.842178341666667	0.086933929149167	0.050191327395983
11.7	0.8326	0.77014606	0.663983965	0.755576675	0.085246947448217	0.049217348056822
11.8	0.7307	0.67297306	0.560891965	0.654855008333333	0.086341705072273	0.049849406665768
11.9	0.6204	0.56241506	0.445212965	0.542676008333333	0.089245991106309	0.051526196989322
12	0.5075	0.44962306	0.337881965	0.431668341666667	0.086222667449675	0.049780680262318
12.1	0.4212	0.35258306	0.250977965	0.341587008333333	0.085642105089012	0.049445492427107
12.2	0.3433	0.27850006	0.183598965	0.268466341666667	0.08032192585286	0.046373885512978
12.3	0.2916	0.23094706	0.138625965	0.220391008333333	0.077031399546791	0.044474099264393
12.4	0.2651	0.21390506	0.118588965	0.199198008333333	0.074354514797269	0.042928599133667
12.5	0.2586	0.21942456	0.121011465	0.199678675	0.070887772018074	0.040927074256888
12.6	0.2521	0.22494406	0.123433965	0.200159341666667	0.067819236487905	0.039155454442527
12.7	0.2616	0.23547406	0.141321965	0.212798675	0.06326398058563	0.036525476221121
12.8	0.2901	0.26785706	0.174392965	0.244116675	0.061398158743435	0.035448243478269
12.9	0.3368	0.31587706	0.213893965	0.288857008333333	0.065757400753887	0.037965053026467
13	0.3866	0.37013606	0.259033965	0.338590008333333	0.069387595096114	0.040060946707162
13.1	0.444	0.41907806	0.320994965	0.394691008333333	0.065027731588779	0.037543778337572
13.2	0.5006	0.47145206	0.391253965	0.454435341666667	0.056624335489984	0.032692075337826
13.3	0.5594	0.53829606	0.468462965	0.522053008333333	0.047594785735754	0.02747886235656
13.4	0.6218	0.59722006	0.538062965	0.585694341666667	0.043041891163985	0.024850247449957
13.5	0.6762	0.65738006	0.601250965	0.644943675	0.03899150184026	0.022511754083582
13.6	0.7227	0.71550306	0.659562965	0.699255341666667	0.034562444364184	0.019954636557513
13.7	0.773	0.75502006	0.713171965	0.747064008333333	0.030697272054408	0.017723078283999
13.8	0.8013	0.78662006	0.750918965	0.779613008333333	0.025911122162352	0.014959793355439
13.9	0.8138	0.80368106	0.764101965	0.793861008333333	0.026264019718377	0.015163538854407
14	0.8079	0.80198006	0.768260965	0.792713675	0.021382532407528	0.012345210841442
14.1	0.7958	0.79345206	0.765434965	0.784895675	0.016894307646038	0.009753933067212
14.2	0.7777	0.78025206	0.755084965	0.771012341666667	0.013852409471724	0.007997692337425
14.3	0.7558	0.76656406	0.732859965	0.751741341666667	0.017214704050384	0.009938914017509
14.4	0.7331	0.74332606	0.711513965	0.729313341666667	0.016240579825619	0.009376503134117
14.5	0.6918	0.71284806	0.692726965	0.699125008333333	0.011893545573642	0.006866741738561
14.6	0.6495	0.68198706	0.675888965	0.669125341666667	0.017267374360548	0.00996932323526
14.7	0.6066	0.65167706	0.659229965	0.639169008333333	0.028457280638658	0.016429818637134
14.8	0.5744	0.62553806	0.635767965	0.611902008333333	0.032878004970684	0.018982125020242
14.9	0.5602	0.61581706	0.632675965	0.602897675	0.037925904831052	0.021896531363468
15	0.5597	0.60791256	0.626253965	0.597955508333333	0.034376077768192	0.019847037753149
15.1	0.5592	0.60000806	0.619831965	0.593013341666667	0.030915260929876	0.017848934219931
15.2	0.5546	0.59624806	0.612744965	0.587864341666667	0.029965384838715	0.017300523003003
15.3	0.5576	0.60458106	0.629768965	0.597316675	0.036628791194414	0.021147642456186
15.4	0.5692	0.61789706	0.644911965	0.610669675	0.038369932649068	0.022152890943727
15.5	0.5867	0.64156806	0.662715965	0.630328008333333	0.039234688794768	0.022652158137231
15.6	0.6062	0.66599306	0.675014965	0.649069341666667	0.037398984393394	0.021592313706945
15.7	0.6248	0.69058706	0.683593965	0.666327008333333	0.036133020358909	0.02086140903085
15.8	0.6478	0.70857306	0.702605965	0.686326341666667	0.033497922433299	0.019340034534158
15.9	0.6629	0.72497906	0.716806965	0.701562008333333	0.033730682626465	0.01947441869434
16	0.6791	0.74030906	0.731919965	0.717109675	0.033183516599872	0.019158512241595
16.1	0.7049	0.76052306	0.745302965	0.736908675	0.028745943703312	0.016596478335217
16.2	0.7281	0.76646206	0.760155965	0.751572675	0.020571012670235	0.011876679702664
16.3	0.7507	0.77787806	0.764384965	0.764321008333333	0.013589142878869	0.007845695299171
16.4	0.7636	0.79259106	0.767011965	0.774401008333333	0.015845152603156	0.009148203120783
16.5	0.7786	0.79830106	0.766946965	0.781282675	0.015848261014508	0.009149997762914
16.6	0.7884	0.79860306	0.762643965	0.783215675	0.018531649888339	0.01069925305156
16.7	0.7909	0.80432506	0.760234965	0.785153341666667	0.022599827007685	0.013048016206526
16.8	0.7896	0.80740006	0.757286965	0.784762341666667	0.025404384980399	0.01466722850703
16.9	0.7932	0.81534306	0.756000965	0.788181341666667	0.029987685111514	0.017313398071506
17	0.7916	0.82154206	0.750929965	0.788024008333333	0.035441610817968	0.020462223546268
